hud_amp,tds,cons_tds,development_edp,operating_edp,hud,dev_name,program,method,type,section_8_transition_units,current_units,total_number_units,number_rental_rooms,avg._no._r/r_per_unit,population_-_section_8_transition,population_-_public_housing,total_population,families_on_fixed_income,%_families_on_fixed_income,residential_buildings,non-residential_buildings,stairhalls,stories,total_area_-_sq._ft.,acres,net_dev._area_-_sq._ft.,(excluding_park)_acres,bldg._coverage_-_sq._ft.,cubage_-_cu._ft.,bldg/land_coverage_-__%,density_(population/acre),development_cost,cost_per_rental_room_(as_built),avg._monthly_gross_rent,location,borough,community_district,us_congressional_district,new_york_state_senate_district,new_york_state_assembly_district,new_york_city_council_district,completion_date,federalized_development,senior_development,electricity_paid_by_residents,private_management
NY005011330,180,180,289,289,NY005090,1010 EAST 178TH STREET,FEDERAL,CONVENTIONAL,NEW CONST,,217,220,913.5,4.21,0,445,445,90,41.47%,1,0,1,21,"88,172",2.02,"88,172",2.02,"14,961","1,841,787",16.97%,220,"$5,031,405","$5,341",$502,E TREMONT AVE BRYANT AVE E 178TH ST BOSTON RD,BRONX,6,15,32,87,15,03/31/1971,,,,
NY005013080,233,308,354,344,NY005138,1162-1176 WASHINGTON AVENUE,FEDERAL,TURNKEY,REHAB,,65,66,293.5,4.52,0,153,153,20,32.79%,1,0,1,6,"18,987",0.44,"18,987",0.44,"12,231","851,926",64.42%,348,"$2,205,187","$7,302",$408,E 167TH ST E 168TH ST THIRD AVE WASHINGTON AVE,BRONX,3,15,32,79,16,12/31/1975,,,,
NY005010670,214,067,332,222,NY005162,1471 WATSON AVENUE,FEDERAL,TURNKEY,NEW CONST,,96,96,386.0,4.02,0,156,156,48,50.53%,1,0,1,6,"39,937",0.92,"39,937",0.92,"13,337","810,629",33.40%,170,"$2,278,928","$5,814",$507,WATSON AVE COLGATE AVE EVERGREEN AVE,BRONX,9,15,32,85,17,12/31/1970,,,,
NY005001180,118,118,248,248,NY005049,ADAMS,FEDERAL,CONVENTIONAL,NEW CONST,,925,925,"4,309.5",4.66,0,"2,201","2,201",331,36.17%,7,0,7,15-21,"408,888",9.39,"383,068",8.79,"56,283","8,181,502",13.76%,234,"$17,878,818","$4,149",$506,WESTCHESTER AVE UNION AVE E 152ND ST,BRONX,1,15,29,84,17,08/31/1964,,,,
NY005012020,202,197,311,311,NY005106,BAILEY AVENUE-WEST 193RD STREET,FEDERAL,CONVENTIONAL,NEW CONST,,233,233,980.5,4.21,0,450,450,110,47.21%,1,0,1,20,"99,606",2.29,"99,606",2.29,"13,621","1,877,893",13.67%,197,"$8,091,156","$8,173",$506,BAILEY AVE W 193RD ST HEATH AVE,BRONX,7,13,33,86,14,05/31/1973,,,,
NY005010390,189,039,304,304,NY005095,BOSTON ROAD PLAZA,FEDERAL,CONVENTIONAL,NEW CONST (ELD),,233,235,817.5,3.51,0,279,279,196,84.12%,1,1,1,20,"84,416",1.94,"84,416",1.94,"15,045","1,589,318",17.82%,144,"$7,125,145","$8,452",$379,MACE AVE HOLLAND AVE WARING AVE BOSTON RD,BRONX,11,14,34,80,13,08/31/1972,,EXCLUSIVELY,,
NY005011380,138,138,254,254,NY005060,BOSTON SECOR,FEDERAL,CONVENTIONAL,NEW CONST,,535,538,"2,471.5",4.62,0,"1,285","1,285",205,38.53%,4,2,4,13-14-17-18,"612,889",14.07,"612,889",14.07,"36,181","4,849,474",5.90%,91,"$11,894,964","$4,778",$504,IRT-DYRE AVE LINE BOSTON RD STEENWICK AVE,BRONX,12,16,36,83,12,04/30/1969,,,,
NY005010320,346,032,767,533,NY005249,BOYNTON AVENUE REHAB,FEDERAL,TURNKEY,REHAB,,82,82,367.0,4.48,0,181,181,27,32.93%,3,0,3,4-6,"30,000",0.69,"30,000",0.69,"16,455","999,600",54.85%,262,"$4,943,129","$13,396",$463,WATSON AVE WARD AVE BRUCKNER BLVD ELDER AVE,BRONX,9,15,32,85,18,08/22/1985,,,YES,
NY005010320,032,032,533,533,NY005220D,BRONX RIVER,FEDERAL,CONVENTIONAL,NEW CONST,,"1,244","1,246","5,938.0",4.77,0,"2,905","2,905",487,39.56%,9,1,9,14,"607,297",13.94,"563,737",12.94,"84,235","10,772,413",13.87%,208,"$12,719,000","$2,131",$469,BRONX RIVER AVE HARROD AVE E 174TH ST,BRONX,9,15,32,85,18,02/28/1951,1978/07/01-ATP 3,,,
NY005010320,157,032,533,533,NY005220D,BRONX RIVER ADDITION,FEDERAL,CONVENTIONAL,NEW CONST (ELD),,226,226,640.0,2.83,0,233,233,199,89.64%,2,0,2,6-14,"62,500",1.43,"62,500",1.43,"12,286","1,529,115",19.66%,163,"$3,928,000","$6,128",$295,E 172ND ST E 174TH ST MANOR AVE HARROD AVE,BRONX,9,15,32,85,18,02/28/1966,1978/07/01-ATP 3,EXCLUSIVELY,,
